Date,Open,High,Low,Close,Volume
9/4/14,24.7125,25.022499,24.4475,24.530001,342872000
9/5/14,24.700001,24.8475,24.577499,24.7425,233828000
9/8/14,24.825001,24.827499,24.512501,24.59,185426800
9/9/14,24.77,25.77,24.035,24.497499,759385200
9/10/14,24.502501,25.2775,24.440001,25.25,403478400
9/11/14,25.102501,25.360001,24.905001,25.3575,249412400
9/12/14,25.3025,25.547501,25.27,25.415001,250504400
9/15/14,25.702499,25.762501,25.360001,25.407499,245266000
9/16/14,24.950001,25.315001,24.7225,25.215,267632400
9/17/14,25.317499,25.450001,25.147499,25.395,243706000
9/18/14,25.4825,25.5875,25.389999,25.4475,149197600
9/19/14,25.5725,25.5875,25.125,25.24,283609600
9/22/14,25.450001,25.535,25.145,25.264999,211153600
9/23/14,25.15,25.735001,25.135,25.66,253608800
9/24/14,25.540001,25.7125,25.299999,25.4375,240687200
9/25/14,25.127501,25.1775,24.43,24.467501,400368000
9/26/14,24.6325,25.1875,24.6,25.1875,249482000
9/29/14,24.6625,25.110001,24.657499,25.0275,199065200
9/30/14,25.202499,25.385,25.1325,25.1875,221056400
10/1/14,25.147499,25.172501,24.674999,24.795,205965200
10/2/14,24.817499,25.055,24.51,24.975,191031200
10/3/14,24.860001,25.0525,24.76,24.905001,173878400
10/6/14,24.987499,25.1625,24.855,24.905001,148204800
10/7/14,24.8575,25.030001,24.682501,24.6875,168376800
10/8/14,24.690001,25.2775,24.577499,25.200001,229618800
10/9/14,25.385,25.594999,25.1525,25.254999,309506000
10/10/14,25.172501,25.5075,25.075001,25.182501,265326400
10/13/14,25.3325,25.445,24.952499,24.952499,214333600
10/14/14,25.0975,25.129999,24.6425,24.6875,254754400
10/15/14,24.4925,24.7875,23.795,24.385,403734400
10/16/14,23.887501,24.43,23.852501,24.065001,288618000
10/17/14,24.375,24.75,24.202499,24.4175,272718800
10/20/14,24.58,24.99,24.555,24.940001,310069200
10/21/14,25.754999,25.754999,25.317499,25.6175,378495600
10/22/14,25.709999,26.0275,25.65,25.747499,273052400
10/23/14,26.02,26.262501,25.907499,26.2075,284298800
10/24/14,26.295,26.372499,26.1325,26.305,188215600
10/27/14,26.2125,26.370001,26.174999,26.2775,136750800
10/28/14,26.35,26.684999,26.3375,26.684999,192243600
10/29/14,26.6625,26.842501,26.59,26.834999,210751600
10/30/14,26.74,26.8375,26.475,26.745001,162619200
10/31/14,27.002501,27.01,26.8025,27,178557200
11/3/14,27.055,27.575001,27.002501,27.35,209130400
11/4/14,27.34,27.372499,26.93,27.15,166297600
11/5/14,27.275,27.325001,27.032499,27.215,149743600
11/6/14,27.15,27.1975,26.950001,27.174999,139874000
11/7/14,27.1875,27.33,27.137501,27.252501,134766000
11/10/14,27.254999,27.3325,27.1675,27.2075,108782000
11/11/14,27.174999,27.4375,27.1,27.424999,109769200
11/12/14,27.344999,27.8575,27.342501,27.8125,187769600
11/13/14,27.950001,28.362499,27.9,28.205,238091600
11/14/14,28.2875,28.547501,27.8025,28.545,176254400
11/17/14,28.567499,29.32,28.325001,28.497499,186986800
11/18/14,28.485001,28.922501,28.4725,28.8675,176896000
11/19/14,28.860001,28.934999,28.450001,28.6675,167476800
11/20/14,28.727501,29.215,28.7125,29.077499,173582000
11/21/14,29.377501,29.3925,29.0075,29.1175,228717200
11/24/14,29.2125,29.692499,29.155001,29.657499,189803200
11/25/14,29.7675,29.9375,29.362499,29.4,275361600
11/26/14,29.485001,29.775,29.4575,29.75,163073200
11/28/14,29.817499,29.85,29.512501,29.7325,99257600
12/1/14,29.702499,29.8125,27.817499,28.7675,335256000
12/2/14,28.375,28.9375,28.1875,28.657499,237395600
12/3/14,28.9375,29.0875,28.7775,28.9825,172253600
12/4/14,28.942499,29.299999,28.8225,28.872499,168178000
12/5/14,28.997499,29.02,28.66,28.75,153275600
12/8/14,28.525,28.6625,27.905001,28.1,230659600
12/9/14,27.547501,28.575001,27.3375,28.530001,240832000
12/10/14,28.602501,28.7125,27.885,27.987499,178261200
12/11/14,28.065001,28.450001,27.834999,27.905001,165606800
12/12/14,27.615,27.967501,27.395,27.432501,224112400
12/15/14,27.674999,27.9,26.5875,27.057501,268872400
12/16/14,26.592501,27.540001,26.565001,26.6875,243162800
12/17/14,26.780001,27.459999,26.705,27.352501,213647200
12/18/14,27.967501,28.1625,27.665001,28.1625,236024800
12/19/14,28.065001,28.309999,27.915001,27.945,353719200
12/22/14,28.040001,28.372499,27.9925,28.235001,180670000
12/23/14,28.307501,28.3325,28.115,28.135,104113600
12/24/14,28.145,28.1775,28.002501,28.002501,57918400
12/26/14,28.025,28.629999,28.002501,28.497499,134884000
12/29/14,28.4475,28.692499,28.424999,28.477501,110395600
12/30/14,28.41,28.48,28.0275,28.129999,119526000
12/31/14,28.205,28.282499,27.5525,27.594999,165613600
1/2/15,27.8475,27.860001,26.8375,27.3325,212818400
1/5/15,27.0725,27.1625,26.352501,26.5625,257142000
1/6/15,26.635,26.8575,26.157499,26.565001,263188400
1/7/15,26.799999,27.049999,26.674999,26.9375,160423600
1/8/15,27.307501,28.0375,27.174999,27.9725,237458000
1/9/15,28.1675,28.3125,27.5525,28.002501,214798000
1/12/15,28.15,28.157499,27.200001,27.3125,198603200
1/13/15,27.8575,28.200001,27.227501,27.555,268367600
1/14/15,27.26,27.622499,27.125,27.450001,195826400
1/15/15,27.5,27.514999,26.665001,26.705,240056000
1/16/15,26.7575,26.895,26.299999,26.497499,314053200
1/20/15,26.959999,27.2425,26.625,27.18,199599600
1/21/15,27.237499,27.764999,27.067499,27.387501,194303600
1/22/15,27.565001,28.1175,27.43,28.1,215185600
1/23/15,28.075001,28.4375,27.8825,28.245001,185859200
1/26/15,28.434999,28.59,28.200001,28.275,222460000
1/27/15,28.105,28.120001,27.2575,27.285,382274800
1/28/15,29.407499,29.530001,28.827499,28.827499,585908400
1/29/15,29.08,29.797501,28.889999,29.725,337745600
1/30/15,29.6,30,29.2125,29.290001,334982000
2/2/15,29.512501,29.7925,29.02,29.657499,250956400
2/3/15,29.625,29.772499,29.4025,29.6625,207662800
2/4/15,29.625,30.127501,29.577499,29.889999,280598800
2/5/15,30.004999,30.057501,29.8125,29.985001,168984800
2/6/15,30.004999,30.0625,29.612499,29.7325,174826400
2/9/15,29.637501,29.959999,29.6075,29.93,155559200
2/10/15,30.0425,30.5375,30.040001,30.504999,248034000
2/11/15,30.692499,31.23,30.625,31.219999,294247200
2/12/15,31.514999,31.870001,31.3925,31.615,297898000
2/13/15,31.82,31.82,31.4125,31.77,217088800
2/17/15,31.872499,32.220001,31.73,31.9575,252609600
2/18/15,31.907499,32.195,31.862499,32.18,179566800
2/19/15,32.119999,32.2575,32.0825,32.112499,149449600
2/20/15,32.154999,32.375,32.012501,32.375,195793600
2/23/15,32.505001,33.25,32.415001,33.25,283896400
2/24/15,33.235001,33.400002,32.7925,33.0425,276912400
2/25/15,32.889999,32.900002,32.037498,32.197498,298846800
2/26/15,32.197498,32.717499,31.6525,32.605,365150000
2/27/15,32.5,32.642502,32.060001,32.115002,248059200
3/2/15,32.3125,32.57,32.075001,32.272499,192386800
3/3/15,32.240002,32.380001,32.022499,32.34,151265200
3/4/15,32.275002,32.389999,32.080002,32.134998,126665200
3/5/15,32.145,32.1875,31.440001,31.602501,226068400
3/6/15,32.099998,32.342499,31.565001,31.65,291368400
3/9/15,31.99,32.392502,31.264999,31.785,354114000
3/10/15,31.602501,31.805,30.950001,31.127501,275426400
3/11/15,31.1875,31.192499,30.5275,30.559999,275756000
3/12/15,30.577499,31.225,30.407499,31.112499,193450800
3/13/15,31.1,31.35,30.645,30.897499,207309200
3/16/15,30.969999,31.237499,30.717501,31.237499,143497200
3/17/15,31.475,31.83,31.4125,31.76,204092400
3/18/15,31.75,32.290001,31.592501,32.1175,261083600
3/19/15,32.1875,32.3125,31.85,31.875,183238000
3/20/15,32.0625,32.099998,31.290001,31.475,274780400
3/23/15,31.780001,31.9625,31.629999,31.8025,150838800
3/24/15,31.807501,32.009998,31.639999,31.672501,131369200
3/25/15,31.635,31.705,30.844999,30.844999,206620800
3/26/15,30.690001,31.219999,30.65,31.059999,190291600
3/27/15,31.1425,31.174999,30.727501,30.8125,158184800
3/30/15,31.012501,31.6,31,31.592501,188398800
3/31/15,31.522499,31.622499,31.09,31.1075,168362400
4/1/15,31.205,31.280001,30.775,31.0625,162485600
4/2/15,31.2575,31.389999,31.047501,31.33,128880400
4/6/15,31.1175,31.877501,31.0825,31.8375,148776000
4/7/15,31.91,32.029999,31.495001,31.502501,140049200
4/8/15,31.4625,31.6,31.2425,31.4,149316800
4/9/15,31.4625,31.645,31.165001,31.639999,129936000
4/10/15,31.487499,31.8025,31.315001,31.775,160752000
4/13/15,32.092499,32.142502,31.6525,31.7125,145460400
4/14/15,31.75,31.8225,31.477501,31.575001,102098400
4/15/15,31.602501,31.782499,31.502501,31.695,115881600
4/16/15,31.57,31.775,31.5275,31.5425,113476000
4/17/15,31.387501,31.535,31.115,31.1875,207828000
4/20/15,31.3925,32.029999,31.2925,31.9,188217200
4/21/15,32.025002,32.049999,31.6675,31.727501,129740400
4/22/15,31.747499,32.217499,31.58,32.154999,150618000
4/23/15,32.075001,32.605,32.035,32.4175,183083600
4/24/15,32.622501,32.657501,32.307499,32.57,178103600
4/27/15,33.077499,33.282501,32.787498,33.162498,387816800
4/28/15,33.615002,33.634998,32.392502,32.639999,475696000
4/29/15,32.540001,32.897499,32.075001,32.16,253544400
4/30/15,32.16,32.16,31.145,31.2875,332781600
5/1/15,31.525,32.532501,31.325001,32.237499,234050400
5/4/15,32.375,32.642502,32.064999,32.174999,203953200
5/5/15,32.037498,32.112499,31.445,31.450001,197085600
5/6/15,31.639999,31.6875,30.84,31.252501,288564000
5/7/15,31.192499,31.52,31.004999,31.315001,175763600
5/8/15,31.67,31.905001,31.5275,31.905001,222201600
5/11/15,31.8475,31.889999,31.407499,31.58,168143200
5/12/15,31.4,31.719999,31.205,31.467501,192640000
5/13/15,31.5375,31.797501,31.467501,31.502501,138776800
5/14/15,31.852501,32.237499,31.790001,32.237499,180814000
5/15/15,32.267502,32.372501,32.052502,32.192501,152832000
5/18/15,32.095001,32.68,32.09,32.547501,203531600
5/19/15,32.672501,32.720001,32.41,32.517502,178532800
5/20/15,32.5,32.744999,32.334999,32.514999,145819600
5/21/15,32.517502,32.907501,32.4575,32.8475,158921600
5/22/15,32.900002,33.2425,32.849998,33.134998,182384000
5/26/15,33.150002,33.227501,32.279999,32.404999,282790400
5/27/15,32.584999,33.064999,32.512501,33.009998,183332800
5/28/15,32.965,32.987499,32.775002,32.945,122933200
5/29/15,32.807499,32.862499,32.474998,32.57,203538000
6/1/15,32.57,32.8475,32.512501,32.634998,128451200
6/2/15,32.465,32.665001,32.330002,32.490002,134670400
6/3/15,32.665001,32.735001,32.474998,32.529999,123934000
6/4/15,32.395,32.645,32.227501,32.34,153800400
6/5/15,32.375,32.422501,32.09,32.162498,142507200
6/8/15,32.224998,32.302502,31.7075,31.950001,210699200
6/9/15,31.674999,32.02,31.405001,31.855,224301600
6/10/15,31.98,32.334999,31.9625,32.220001,156349200
6/11/15,32.294998,32.544998,32.119999,32.147499,141563600
6/12/15,32.047501,32.0825,31.7775,31.7925,147544800
6/15/15,31.525,31.809999,31.4275,31.73,175955600
6/16/15,31.7575,31.9625,31.592501,31.9,125976400
6/17/15,31.93,31.969999,31.684999,31.825001,131672400
6/18/15,31.807501,32.077499,31.805,31.969999,141628800
6/19/15,31.9275,31.955,31.6,31.65,218867600
6/22/15,31.872499,32.014999,31.77,31.9025,136157200
6/23/15,31.870001,31.9025,31.719999,31.7575,121075600
6/24/15,31.8025,32.450001,31.780001,32.0275,221123600
6/25/15,32.215,32.299999,31.875,31.875,127752400
6/26/15,31.9175,31.997499,31.627501,31.6875,176267200
6/29/15,31.365,31.6175,31.120001,31.1325,196645600
6/30/15,31.3925,31.530001,31.215,31.3575,177482800
7/1/15,31.725,31.735001,31.497499,31.65,120955200
7/2/15,31.6075,31.672501,31.442499,31.610001,108844000
7/6/15,31.235001,31.557501,31.2125,31.5,112241600
7/7/15,31.4725,31.5375,30.942499,31.422501,187787200
7/8/15,31.120001,31.16,30.635,30.6425,243046400
7/9/15,30.9625,31.014999,29.805,30.0175,314380000
7/10/15,30.485001,30.9625,30.3025,30.82,245418000
