State,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
CALIFORNIA,127252,88,0,17,22,49,778,170,561,47,2
CALIFORNIA,308348,2156,23,57,578,1498,5912,1130,3949,833,42
CALIFORNIA,154108,68,0,8,21,39,1012,266,629,117,9
CALIFORNIA,114381,62,2,3,27,30,1238,165,912,161,1
CALIFORNIA,129853,83,0,16,17,50,761,109,605,47,4
CALIFORNIA,149078,116,0,12,58,46,1568,208,1173,187,3
CALIFORNIA,122293,517,10,48,167,292,2419,1120,691,608,36
CALIFORNIA,110228,183,4,28,46,105,1854,325,1382,147,3
CALIFORNIA,123438,315,4,21,95,195,1831,452,1123,256,10
CALIFORNIA,131186,265,2,30,53,180,1988,492,1156,340,1
CALIFORNIA,102307,183,1,17,50,115,831,170,544,117,4
CALIFORNIA,108950,146,2,9,64,71,1442,270,921,251,5
COLORADO,366477,929,7,143,287,492,5514,814,3951,749,29
COLORADO,111479,66,1,22,8,35,605,100,455,50,4
COLORADO,464113,1113,8,239,210,656,7816,1194,5722,900,59
COLORADO,699259,2164,19,272,575,1298,12442,2392,7740,2310,44
COLORADO,164670,141,1,16,15,109,1731,191,1454,86,7
COLORADO,102491,232,1,45,22,164,1616,227,1231,158,12
COLORADO,154553,441,3,77,82,279,4167,503,3223,441,12
COLORADO,109927,545,2,82,109,352,3484,887,2167,430,25
CONNECTICUT,148180,472,2,28,188,254,1262,292,700,270,4
CONNECTICUT,123736,613,10,28,202,373,2390,363,1661,366,55
CONNECTICUT,130116,155,0,19,53,83,865,123,665,77,1
CONNECTICUT,108491,268,4,14,111,139,2057,358,1398,301,13
DISTRICT OF COLUMBIA,681170,3905,62,256,1551,2036,14563,1115,12121,1327,75
FLORIDA,179631,103,4,7,19,73,1508,307,1111,90,2
FLORIDA,113904,336,1,40,69,226,1821,260,1463,98,6
FLORIDA,131159,110,0,11,37,62,1205,104,1018,83,4
FLORIDA,102692,97,2,13,38,44,1431,160,1125,146,3
FLORIDA,181218,584,12,46,225,301,5366,941,3983,442,9
FLORIDA,131242,420,3,57,83,277,2379,307,1930,142,3
FLORIDA,239451,336,5,18,82,231,2812,255,2255,302,17
FLORIDA,151510,316,2,25,110,179,2372,358,1756,258,2
FLORIDA,880557,2758,52,251,703,1752,15340,2758,11160,1422,45
FLORIDA,105766,168,1,36,55,76,2585,321,2088,176,1
FLORIDA,449469,1953,27,44,671,1211,9473,1282,7305,886,28
FLORIDA,114349,376,11,7,135,223,1820,297,1316,207,12
FLORIDA,140288,233,2,12,63,156,1480,164,1183,133,4
FLORIDA,277719,1194,65,85,240,804,7600,1421,5609,570,11
FLORIDA,108823,251,2,30,25,194,783,192,536,55,5
FLORIDA,169156,187,1,9,51,126,1823,152,1548,123,1
FLORIDA,109362,458,3,44,160,251,2586,413,1888,285,2
FLORIDA,182365,139,2,8,27,102,1167,204,925,38,3
FLORIDA,259510,854,11,59,258,526,5642,932,4272,438,22
FLORIDA,191564,857,4,104,200,549,5346,1036,3777,533,3
FLORIDA,375904,984,12,43,258,671,4031,761,2917,353,34
FLORIDA,108074,479,3,41,151,284,2671,439,1949,283,12
GEORGIA,123934,220,1,39,76,170,2093,425,1558,110,9
GEORGIA,472579,1988,56,121,1092,1322,11522,2171,7507,1844,27
GEORGIA,202338,702,9,42,248,281,4698,1056,3210,432,17
GEORGIA,107685,49,0,5,27,19,1295,233,983,79,4
GEORGIA,241296,621,30,67,254,262,3950,789,2720,441,6
HAWAII,995572,1165,9,181,378,597,15535,1843,11477,2215,139
ILLINOIS,201159,314,2,28,56,228,1215,207,945,63,13
ILLINOIS,2725153,13810,323,819,5164,7504,39442,6198,28077,5167,284
ILLINOIS,112886,119,0,16,34,69,679,85,563,31,10
ILLINOIS,147886,247,2,28,58,159,1384,282,1047,55,24
ILLINOIS,148070,38,0,4,14,20,725,71,636,18,2
ILLINOIS,115099,378,6,34,121,217,1992,468,1449,75,36
ILLINOIS,147363,1250,11,72,264,903,2717,601,1893,223,30
ILLINOIS,116563,600,3,53,95,449,2378,512,1769,97,15
INDIANA,119908,359,5,44,98,212,2898,468,2240,190,13
INDIANA,261642,450,16,47,161,226,3976,768,3062,146,28
INDIANA,101621,465,6,43,136,280,2201,485,1517,199,18
KANSAS,135977,111,1,23,15,72,986,80,821,85,1
KANSAS,189104,188,1,69,20,98,1376,235,1000,141,8
KANSAS,127166,304,8,27,100,169,3302,512,2439,351,1
KENTUCKY,317853,511,12,89,276,134,6136,1085,4545,506,23
KENTUCKY,683825,2261,54,89,746,1372,14552,2829,9696,2027,6
LOUISIANA,228389,979,15,53,348,563,4708,1058,3381,269,65
LOUISIANA,128923,333,5,12,83,233,3156,533,2447,176,11
LOUISIANA,397208,2041,67,299,685,990,7586,1277,5131,1178,34
MARYLAND,618385,5176,137,150,2340,2549,13822,3462,7844,2516,137
MASSACHUSETTS,111030,159,2,12,38,107,1177,184,925,68,4
MASSACHUSETTS,111027,223,0,8,55,160,986,187,668,131,8
MASSACHUSETTS,154102,774,5,43,248,478,2463,739,1431,293,16
MASSACHUSETTS,184595,787,3,37,179,568,2720,747,1710,263,3
MICHIGAN,117688,100,0,27,20,53,935,126,764,45,3
MICHIGAN,100514,145,2,28,17,98,797,142,595,60,4
MICHIGAN,196538,649,4,76,140,429,2032,384,1527,121,28
MICHIGAN,115199,687,5,63,109,510,1448,379,898,171,4
MICHIGAN,132523,118,0,20,10,88,754,89,616,49,3
MICHIGAN,135620,355,3,76,56,220,1659,427,1018,214,17
MINNESOTA,416751,2114,10,213,799,1092,7607,1381,5347,879,38
MINNESOTA,113306,127,0,35,30,62,1190,174,972,44,0
MINNESOTA,303920,1000,9,100,341,550,4360,900,2695,765,36
MISSISSIPPI,170070,1089,27,88,297,311,3875,922,2515,438,55
MISSOURI,121143,244,2,40,61,141,1546,275,1183,88,6
MISSOURI,117335,304,2,29,61,212,2989,444,2172,373,7
MISSOURI,478364,3740,51,199,871,2619,9400,2109,5595,1696,89
MISSOURI,168307,1144,5,153,213,773,6283,1060,4639,584,31
MISSOURI,314507,2784,88,141,811,1744,8522,1605,5587,1330,135
MONTANA,111447,275,0,36,49,190,2563,324,1923,316,10
NEBRASKA,281138,473,8,101,90,274,4104,597,3324,183,29
NEBRASKA,446163,1102,12,210,248,792,8093,922,5747,1424,32
NEVADA,1592178,7174,83,632,2537,3922,22234,6115,11881,4238,49
NEVADA,244554,809,4,72,190,543,3820,599,2693,528,8
NEW HAMPSHIRE,110353,368,1,40,104,223,1576,240,1265,71,16
NEW JERSEY,102679,49,0,3,16,30,528,71,421,36,1
NEW JERSEY,129096,511,3,22,235,251,1976,394,1141,441,1
NEW JERSEY,100269,95,2,10,22,61,409,82,310,17,4
NEW JERSEY,281450,1154,49,44,570,491,2879,496,1410,973,21
NEW JERSEY,147265,547,7,28,263,249,1498,464,727,307,5
NEW JERSEY,102124,51,0,4,24,23,802,102,643,57,2
NEW MEXICO,102349,55,2,7,19,89,2351,377,1848,126,1
NEW YORK,120436,45,1,3,15,26,953,79,857,17,2
NEW YORK,257446,1358,19,88,468,783,4803,1184,3227,392,108
NEW YORK,8566917,23546,162,1184,7366,14834,59928,5809,51171,2948,851
NEW YORK,209643,879,16,72,291,500,3583,677,2572,334,48
NEW YORK,143925,503,14,31,149,309,2209,469,1576,164,24
NEW YORK,202075,463,4,21,206,232,988,181,712,95,9
NORTH DAKOTA,121217,214,2,39,30,143,1749,254,1360,135,9
OHIO,197257,628,20,124,198,286,4100,1145,2649,306,47
OHIO,298880,1289,32,141,572,544,7155,1856,4788,511,220
OHIO,386227,2879,47,228,1280,1324,9580,2658,4922,2000,158
OHIO,862515,2253,41,465,1050,697,16871,3580,11716,1575,190
OHIO,140260,628,14,56,215,343,3457,1009,2084,364,42
OHIO,278366,1634,10,167,381,1076,5623,1688,3586,349,35
OKLAHOMA,108088,73,1,11,21,40,1016,166,783,67,3
OKLAHOMA,122143,183,1,40,36,106,2000,364,1422,214,3
OKLAHOMA,641681,2462,30,227,547,1658,12436,2649,8381,1406,47
OKLAHOMA,405748,2064,28,226,455,1355,11532,2681,7179,1672,92
OREGON,164883,296,2,50,59,185,2973,470,2188,315,29
OREGON,111491,224,2,41,55,126,1441,219,906,316,11
OREGON,642129,1588,5,208,476,899,15868,1906,11895,2067,81
OREGON,166508,251,4,21,61,165,3242,406,2539,297,13
PENNSYLVANIA,120615,257,6,23,122,106,1547,331,1083,133,11
PENNSYLVANIA,1570826,7374,122,634,2896,3722,22948,3263,17069,2616,197
RHODE ISLAND,179340,490,2,58,147,283,2540,473,1912,350,9
SOUTH CAROLINA,135153,198,6,18,51,123,1534,167,1244,123,3
SOUTH CAROLINA,134489,551,5,50,141,355,3570,540,2640,390,5
SOUTH CAROLINA,110490,444,15,45,136,248,3056,432,2305,319,9
SOUTH DAKOTA,175152,457,4,65,57,331,2680,413,1957,310,24
TENNESSEE,177801,860,13,56,139,652,4869,774,3597,498,13
TENNESSEE,152526,474,6,33,54,381,1816,308,1435,73,1
TENNESSEE,186583,839,7,81,200,551,5027,846,3794,387,9
TENNESSEE,656434,5775,98,249,1536,3892,16894,4358,11196,1340,181
TENNESSEE,129730,360,2,28,75,255,1858,343,1428,87,4
TENNESSEE,668685,3596,34,249,864,2449,12022,2302,8995,725,38
UTAH,193918,900,4,135,263,498,8295,898,6429,968,16
UTAH,113595,146,0,21,25,100,1769,185,1404,180,3
UTAH,137558,370,4,54,89,223,3156,427,2097,632,5
VIRGINIA,236570,423,8,38,92,285,2973,321,2488,164,11
VIRGINIA,135504,172,8,17,75,72,2035,247,1660,128,6
VIRGINIA,181676,384,11,42,126,205,2589,411,1909,269,24
VIRGINIA,245734,790,26,68,230,466,4562,582,3721,259,11
VIRGINIA,453017,350,8,73,132,137,4842,430,4156,256,35
WASHINGTON,142238,77,0,6,38,33,2180,334,1698,148,10
WASHINGTON,108988,262,1,32,75,154,2997,468,2007,522,8
WASHINGTON,128604,163,0,30,74,59,3637,553,2405,679,6
WASHINGTON,101908,150,4,18,60,68,2954,454,1894,606,20
WASHINGTON,700313,2078,11,131,766,1170,19348,3953,13402,1993,52
WASHINGTON,209914,1032,5,83,286,658,6853,1238,4371,1244,48
WASHINGTON,174912,328,0,71,69,188,2823,442,1876,505,24
WISCONSIN,105452,262,1,45,30,186,1014,177,808,29,4
WISCONSIN,99954,155,0,41,58,113,1042,206,795,41,3
WISCONSIN,252136,398,6,59,105,228,3253,440,2651,162,8
WISCONSIN,600193,4485,55,252,1545,2633,11506,2385,6140,2981,120
